# Data from Zhou_reg_bas_hydro_cost_supply_curve,,,,,,,,
reg_nm,reg_id,bsn_nm,basin_glu,basin_id,year.fillout,maxSubResource,mid.price,curve.exponent
South America_Southern,26,La_Plata,RioLaPlata,206,1975,0.368678546,0.02637,3.653
South America_Southern,26,La_Puna_Region,LaPuna,200,1975,0.01715,0.04334,3.217
South America_Southern,26,Peru_Pacific_Coast,PeruCst,180,1975,0.024471986,0.0031,1.974
South America_Southern,26,South_Chile_Pacific_Coast,ChileCstS,169,1975,0.096877381,0.75125,3.803
South Asia,27,Ganges_Bramaputra,GangesR,110,1975,0.52782,0.77322,2.499
South Asia,27,Sri_Lanka,SriLanka,154,1975,0.026713155,0.03174,15
South Korea,28,North_and_South_Korea,Korea,65,1975,0.042009106,0.56184,1.062
Southeast Asia,29,Bay_of_Bengal_North_East_Coast,BengalBay,116,1975,0.18655,0.28239,1
Southeast Asia,29,Bo_Hai_Korean_Bay_North_Coast,BoHai,66,1975,0.035695598,0.31823,7.1
Southeast Asia,29,Fly,FlyR,181,1975,0.25052,0.45495,1.67
Southeast Asia,29,Hong_(Red_River),Hong,109,1975,0.152232598,0.08593,1
Southeast Asia,29,Irrawaddy,IrrawaddyR,137,1975,0.6034,1.01973,4.562
Southeast Asia,29,Mekong,Mekong,125,1975,0.51706,1.05863,3.067
Southeast Asia,29,North_and_South_Korea,Korea,65,1975,0.01251,0.73868,4.173
Southeast Asia,29,North_Borneo_Coast,BorneoCstN,159,1975,0.45897,0.40732,1.285
Southeast Asia,29,Papua_New_Guinea_Coast,PapuaCst,173,1975,0.64718,1.54336,2.33
Southeast Asia,29,Peninsula_Malaysia,MalaysiaP,139,1975,0.2108,1.32666,2.459
Southeast Asia,29,Philippines,Phlppns,119,1975,0.15465,1.1742,2.08
Southeast Asia,29,Salween,Salween,127,1975,0.43195,0.20302,1.086
Southeast Asia,29,Sepik,SepikR,178,1975,0.37629,1.02373,2.126
Southeast Asia,29,South_Pacific_Islands,NewCaledn,185,1975,0.01593,0.06241,2.947
Southeast Asia,29,Viet_Nam_Coast,VietnamCst,126,1975,0.103042492,0.3611,2.973
USA,1,Arkansas_White_Red_Basin,ArkWhtRedR,224,1975,0.06133,0.27471,1
USA,1,California_River_Basin,California,217,1975,0.112897155,0.19392,1
USA,1,Great_Basin,GreatBasin,222,1975,0.01257,0.15129,6.013
USA,1,Great_Lakes_Basin,GreatLakes,227,1975,0.144819675,1.27415,2.229
USA,1,Lower_Colorado_River_Basin,UsaColoRS,221,1975,0.24347,0.03679,2.65
USA,1,Mid_Atlantic_Basin,UsaCstE,233,1975,0.09619,2.14719,3.47
USA,1,Missouri_River_Basin,MissouriR,223,1975,0.39189,2.13621,4.561
USA,1,New_England_Basin,UsaCstNE,232,1975,0.047516175,0.73011,1.46
USA,1,Ohio_River_Basin,OhioR,228,1975,0.09941,0.91634,1.645
USA,1,Pacific_and_Arctic_Coast,PacArctic,7,1975,0.73751,1.07817,2.366
USA,1,Pacific_Northwest_Basin,UsaPacNW,229,1975,1.57713,0.48638,1.339
USA,1,Rio_Grande_River_Basin,RioGrande,231,1975,0.0339,0.08478,1.672
USA,1,Saskatchewan_Nelson,NelsonR,23,1975,0.01021,0.93235,3.901
USA,1,South_Atlantic_Gulf_Basin,UsaCstSE,226,1975,0.1346234,0.7101,2.48
USA,1,Tennessee_River_Basin,TennR,230,1975,0.060589486,1.01677,11.072
USA,1,Upper_Colorado_River_Basin,UsaColoRN,220,1975,0.09626,0.65965,1.426
